00AGENDAMENTO01-12-2021 13:19:3501
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:39:3401
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:39:3501
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:39:3501
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:39:3601
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:39:3701
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:39:3801
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:40:5801
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:41:0001
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:41:0101
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:41:0201
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:41:0301
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:41:0401
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:41:0401
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:41:0501
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:43:2601
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:43:2701
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:43:2801
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:43:2901
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:43:3001
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:43:3001
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:43:3101
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:43:3201
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:44:1201
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:44:1301
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:44:1401
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:44:1401
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:44:1501
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:44:1601
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:44:1701
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:44:1701
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:45:3801
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:45:3901
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:45:3901
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:45:4001
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:45:4101
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:45:4101
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:45:4201
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:45:4301
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:46:1401
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
021002301035061050,00   2021-05-28T19:00
0100016
00AGENDAMENTO01-12-2021 15:46:1501
021000301035003120,50   2021-12-11T15:30
021000401035003120,50   2021-12-01T15:30
021000501035003120,50   2021-11-01T14:30
021000601035003120,50   2021-11-01T16:30
021000701035003120,50   2021-11-27T12:00
021000801035003130,00   2002-10-10T13:00
021001301035045120,00   2010-02-11T11:11
021001401035038060,00   2021-05-28T12:00
021001501035045120,00   2021-05-12T12:30
021001601035016120,00   2021-12-02T10:00
021001701035016040,00   2021-12-02T09:00
021001901035076140,00   2021-05-28T10:00
021002001035076200,00   2021-05-28T10:00
021002101035076040,00   2021-05-28T11:00
021002201035074070,00   2021-05-28T13:00
